file,max_amp,mean_mag,var_mag,spectral_energy,spectral_centroid,spectral_spread,peak_f1,peak_f2,peak_f3,label,predicted_label
AM 1.xlsx,0.0939520468818955,0.0043736326614491,0.0001049410179752,0.0558313562846567,238.31136653326988,130.39942413500034,98.0,49.0,99.0,-1,0
AM 2.xlsx,0.1685513852862641,0.0043602358563306,0.0001500526992631,0.076078960193683,230.9658567976444,132.01285563247112,98.0,99.0,149.0,-1,0
healthy 10.xlsx,0.3511979302857071,0.0050500521583186,0.0005538760622473,0.2607205900720925,202.4276712408657,153.4768739757002,49.0,48.0,50.0,-1,0
healthy 11.xlsx,0.3451377851888537,0.0050687603340442,0.0005566628121802,0.262059814576923,193.3414037612095,151.5171861890277,49.0,48.0,50.0,-1,0
healthy 12.xlsx,0.3319338720757514,0.0052156329646724,0.0005390027429121,0.2547925065604393,206.73933967857388,152.57553527482273,49.0,48.0,440.0,-1,0
healthy 13.xlsx,0.3050688246730715,0.0041920478151581,0.0003909081934325,0.1838166562427197,195.4768501600885,143.35834776398968,49.0,48.0,50.0,-1,0
healthy 14.xlsx,0.2055960794677958,0.0044956002119218,0.0002652904092933,0.1284753737514619,223.70877449566905,145.35782551811738,49.0,48.0,198.0,-1,0
healthy 15.xlsx,0.3162235661875456,0.0055865224311192,0.0005083625990966,0.2428073243865346,225.4119733777444,155.3503868171397,49.0,48.0,441.0,-1,0
healthy 16.xlsx,0.3452500095590949,0.0053322314558496,0.0005296766273493,0.2511491938416618,203.21031583576996,144.15389717507395,49.0,48.0,50.0,-1,0
healthy 17.xlsx,0.1484409149270504,0.0046525163322162,0.0001967868154106,0.0982947256344861,250.4217309282089,146.3324029366435,49.0,441.0,48.0,-1,0
healthy 19.xlsx,0.2567977935541421,0.0040777683790821,0.0002956837369995,0.1405403693788656,201.9442049825453,144.49782597378007,49.0,48.0,198.0,-1,0
healthy 20.xlsx,0.3618971968535334,0.0055177772328812,0.0006051974276236,0.28603948194693,211.0901932292037,156.64933475034454,49.0,48.0,50.0,-1,0
healthy 21.xlsx,0.1944334362633526,0.003915466723449,0.0002079379459858,0.1004709715417108,240.6375147536946,151.80385243620924,49.0,48.0,443.0,-1,0
healthy 22.xlsx,0.2872098993975669,0.0045614621695793,0.0003729412629823,0.1771866900480793,198.14732727617255,147.91363359208327,49.0,48.0,50.0,-1,0
healthy 23.xlsx,0.1192019553855061,0.0038265997687848,0.0001462990137512,0.0724238457937615,243.91015160773875,149.89971663232004,49.0,442.0,441.0,-1,0
healthy 24.xlsx,0.3227967245038599,0.0045233112602943,0.0004167568368504,0.1967477317235927,208.55380724145596,152.36566879082034,49.0,48.0,50.0,-1,0
healthy 25.xlsx,0.3119320026598871,0.0044622466003289,0.0004016153556208,0.1896871501543368,193.112081587109,145.4882493239768,49.0,48.0,50.0,-1,0
healthy 26.xlsx,0.3207004920113832,0.004513935814059,0.0004133905406911,0.1951947707510773,190.6054634245292,143.33534129753912,49.0,48.0,50.0,-1,0
healthy 27.xlsx,0.1183063941425643,0.0034090167361933,9.842090127302016e-05,0.0495190333712998,274.74072523002616,140.84871099648873,442.0,443.0,98.0,-1,0
healthy 28.xlsx,0.2392859751125797,0.0039447980192649,0.0002387538485745,0.1144418759943147,215.7025662956561,147.41648971093636,49.0,48.0,50.0,-1,0
healthy 29.xlsx,0.322010280797258,0.0048130909957366,0.0004364392803169,0.2068223063625848,206.97492823028517,150.73820538609544,49.0,48.0,50.0,-1,0
healthy 3.xlsx,0.3217205812688917,0.0048162440727895,0.0004458888284621,0.2110882659438743,209.64175086429088,153.11908467812552,49.0,48.0,441.0,-1,0
healthy 30.xlsx,0.3753802739083767,0.0047278439330137,0.000550799542948,0.2579184230413489,195.84914117432692,155.57179134415904,49.0,48.0,50.0,-1,0
healthy 31.xlsx,0.092250425950624,0.0021127470912729,4.804388693848231e-05,0.0236284142445741,202.59732412994077,125.68095738497492,49.0,48.0,50.0,-1,0
healthy 32.xlsx,0.1239196280948817,0.0027296348754596,8.238649620726073e-05,0.0404268312422639,197.10076335355507,121.25357298786597,49.0,48.0,200.0,-1,0
healthy 33.xlsx,0.121591736387927,0.0023988272841721,6.467045845446173e-05,0.0316911738571877,197.60379997688943,133.7198489718389,49.0,48.0,50.0,-1,0
healthy 34.xlsx,0.1258520642295479,0.0026839705291179,8.219893934322571e-05,0.0402311867149796,206.4415029828147,123.25323298429176,49.0,48.0,293.0,-1,0
healthy 35.xlsx,0.1211631242767907,0.0025736957498355,7.545789031269941e-05,0.0369368100564394,195.02090835205405,120.48056749345407,49.0,48.0,195.0,-1,0
